,0
1887,430230
1888,430310
1889,430390
1890,430400
1891,440110
1892,440121
1893,440122
1894,440130
1895,440200
1896,440310
1897,440320
1898,440331
1899,440332
1900,440333
1901,440334
1902,440335
1903,440391
1904,440392
1905,440399
1906,440410
1907,440420
1908,440500
1909,440610
1910,440690
1911,440710
1912,440721
1913,440722
1914,440723
1915,440791
1916,440792
1917,440799
1918,440810
1919,440820
1920,440890
1921,440910
1922,440920
1923,441010
1924,441090
1925,441111
1926,441119
1927,441121
1928,441129
1929,441131
1930,441139
1931,441191
1932,441199
1933,441211
1934,441212
1935,441219
1936,441221
1937,441229
1938,441291
1939,441299
1940,441300
1941,441400
1942,441510
1943,441520
1944,441600
1945,441700
1946,441810
1947,441820
1948,441830
1949,441840
1950,441850
1951,441890
1952,441900
1953,442010
1954,442090
1955,442110
1956,442190
1957,450110
1958,450190
1959,450200
1960,450310
1961,450390
1962,450410
1963,450490
1964,460110
1965,460120
1966,460191
1967,460199
1968,460210
1969,460290
1970,470100
1971,470200
1972,470311
1973,470319
1974,470321
1975,470329
1976,470411
1977,470419
1978,470421
1979,470429
1980,470500
1981,470610
1982,470691
1983,470692
1984,470693
1985,470710
1986,470720
1987,470730
1988,470790
1989,480100
1990,480210
1991,480220
1992,480230
1993,480240
1994,480251
1995,480252
1996,480253
1997,480260
1998,480300
1999,480411
2000,480419
2001,480421
2002,480429
2003,480431
2004,480439
2005,480441
2006,480442
2007,480449
2008,480451
2009,480452
2010,480459
2011,480510
2012,480521
2013,480522
2014,480523
2015,480529
2016,480530
2017,480540
2018,480550
2019,480560
2020,480570
2021,480580
2022,480610
2023,480620
2024,480630
2025,480640
2026,480710
2027,480791
2028,480799
2029,480810
2030,480820
2031,480830
2032,480890
2033,480910
2034,480920
2035,480990
2036,481011
2037,481012
2038,481021
2039,481029
2040,481031
2041,481032
2042,481039
2043,481091
2044,481099
2045,481110
2046,481121
2047,481129
2048,481131
2049,481139
2050,481140
2051,481190
2052,481200
2053,481310
2054,481320
2055,481390
2056,481410
2057,481420
2058,481430
2059,481490
2060,481500
2061,481610
2062,481620
2063,481630
